site_name,site_no,structure,structure_id,structure_no,structure_sp,dbh,decay,vexar,planter,recorder,photo_no,tag_id,measurement_id,height,height_2,rcd,rcd_2,azimuth,dist,log_ht,status,herbiv,comp_sp,comp_dist,comp_ht,grass,forb,shrub,rock,cwd,litter,bare_soil,moss,root,other,cvr_total,notes
Horton,1,open,3303,3,,,,0,CAE,"IM, SK",B1691,2383,2383-01,13.5,,5,,,,,,,,,,10,5,,8,8,49,20,,,,100,
Horton,1,open,3303,3,,,,0,CAE,"IM, SK",B1691,2368,2368-01,16.5,,3,,,,,,,,,,10,5,,5,,35,10,35,,,100,
Horton,1,open,3303,3,,,,0,CAE,"IM, SK",B1691,2372,2372-01,23,,3,,,,,,,,,,5,5,,10,5,65,10,,,,100,
Horton,1,open,3303,3,,,,0,CAE,"IM, SK",B1691,2386,2386-01,12.5,,3,,,,,,,,,,,2,,10,5,58,20,5,,,100,
Horton,1,open,3305,5,,,,1,JL,"KBK, CAE",A2287,2395,2395-01,16,,3,,,,,,,,,,1,8,,7,1,58,25,,,,100,Within 2m of legacy PIPO
Horton,1,open,3305,5,,,,1,JL,"KBK, CAE",A2287,2393,2393-01,22,,3,,,,,,,,,,,3,,2,1,77,17,,,,100,Within 2m of legacy PIPO
Horton,1,open,3305,5,,,,1,JL,"KBK, CAE",A2287,2392,2392-01,21,,3,,,,,,,,,,,40,,2,2,44,12,,,,100,Within 2m of legacy PIPO
Horton,1,open,3305,5,,,,1,JL,"KBK, CAE",A2287,406,406-01,22,,4,,,,,,,,,,,30,,3,,54,13,,,,100,Within 2m of legacy PIPO
Horton,1,open,3306,6,,,,0,SK,"IM, SK",B1710,2328,2328-01,22,,2.5,,,,,,,,,,,5,,,,90,,5,,,100,
Horton,1,open,3306,6,,,,0,SK,"IM, SK",B1710,2343,2343-01,23.5,,3,,,,,,,,,,15,20,,5,,60,,,,,100,
Horton,1,open,3306,6,,,,0,SK,"IM, SK",B1710,2352,2352-01,22.5,,3,,,,,,,,,,,,,10,,80,,10,,,100,
Horton,1,open,3306,6,,,,0,SK,"IM, SK",B1710,2358,2358-01,19.5,,3,,,,,,,,,,2,25,,8,,65,,,,,100,
Horton,1,open,3307,7,,,,0,IM,"JL, SK",B1690,2384,2384-01,16,,2,,,,,,,OE sp,90,24.5,,2,,10,,78,10,,,,100,
Horton,1,open,3307,7,,,,0,IM,"JL, SK",B1690,2376,2376-01,23,,3,,,,,,,OE sp,180,24.5,,10,,20,,70,,,,,100,
Horton,1,open,3307,7,,,,0,IM,"JL, SK",B1690,2366,2366-01,19.5,,4.5,,,,,,,,,,,10,,20,,66,4,,,,100,
Horton,1,open,3307,7,,,,0,IM,"JL, SK",B1690,866,866-01,26.5,,3,,,,,,,OE sp,113,24.5,,5,,20,,75,,,,,100,
Horton,1,open,3308,8,,,,0,UNK,"JL, SK",B1688,2370,2370-01,24.5,,4,,,,,,,,,,,15,,30,5,50,,,,,100,
Horton,1,open,3308,8,,,,0,UNK,"JL, SK",B1688,2381,2381-01,16.5,,4,,,,,,,,,,,15,,20,,65,,,,,100,
Horton,1,open,3308,8,,,,0,UNK,"JL, SK",B1688,2369,2369-01,16.5,,4,,,,,,,,,,,8,,20,,67,5,,,,100,
Horton,1,open,3308,8,,,,0,UNK,"JL, SK",B1688,2380,2380-01,22,,4,,,,,,,,,,4,8,,8,,80,,,,,100,
Horton,1,open,3310,10,,,,0,JL,"JL, SK",B1683/B1684,2297,2297-01,20.5,,4.5,,,,,,,,,,,15,,,,80,,5,,,100,"Rocky site, herbivory on forbs"
