Site_Info,,Structure_Info,,,,,,,,,Seedling_Info,,,,,,Competition,,,Cover,,,,,,,,,,,
SITE_NAME,SITE_NO,STRUCTURE_TYPE,STRUCTURE_NO,STRUCTURE_SP,DBH,DECAY_CLASS,VEXAR,PLANTER_NAME,RECORDER_NAME,PHOTO_NO,TAG_ID,HEIGHT,RCD,AZIMUTH,DIST,LOG_HT,SPECIES,DIST,HEIGHT,GRASS,FORB,SHRUB,ROCK,CWD,LITTER,BARE_SOIL,MOSS,SNAG/ROOT,OTHER,TOTAL,NOTES
Horton,1,3,5,,,,1,JL,"KBK, CAE",A2287,2393,22,3,,,,,,,,3,,2,1,77,17,,,,100,Within 2m of legacy PIPO
Horton,1,3,5,,,,1,JL,"KBK, CAE",A2287,2392,21,3,,,,,,,,40,,2,2,44,12,,,,100,Within 2m of legacy PIPO
Horton,1,3,5,,,,1,JL,"KBK, CAE",A2287,406,22,4,,,,,,,,30,,3,,54,13,,,,100,Within 2m of legacy PIPO
Horton,1,3,6,,,,0,SK,"IM, SK",B1710,2328,22,2.5,,,,,,,,5,,,,90,,5,,,100,
Horton,1,3,6,,,,0,SK,"IM, SK",B1710,2343,23.5,3,,,,,,,15,20,,5,,60,,,,,100,
Horton,1,3,6,,,,0,SK,"IM, SK",B1710,2352,22.5,3,,,,,,,,,,10,,80,,10,,,100,
Horton,1,3,6,,,,0,SK,"IM, SK",B1710,2358,19.5,3,,,,,,,2,25,,8,,65,,,,,100,
Horton,1,3,7,,,,0,IM,"JL, SK",B1690,2384,16,2,,,,OE sp,90,24.5,,2,,10,,78,10,,,,100,
Horton,1,3,7,,,,0,IM,"JL, SK",B1690,2376,23,3,,,,OE sp,180,24.5,,10,,20,,70,,,,,100,
Horton,1,3,7,,,,0,IM,"JL, SK",B1690,2366,19.5,4.5,,,,,,,,10,,20,,66,4,,,,100,
Horton,1,3,7,,,,0,IM,"JL, SK",B1690,866,26.5,3,,,,OE sp,113,24.5,,5,,20,,75,,,,,100,
Horton,1,3,8,,,,0,UNK,"JL, SK",B1688,2370,24.5,4,,,,,,,,15,,30,5,50,,,,,100,
Horton,1,3,8,,,,0,UNK,"JL, SK",B1688,2381,16.5,4,,,,,,,,15,,20,,65,,,,,100,
Horton,1,3,8,,,,0,UNK,"JL, SK",B1688,2369,16.5,4,,,,,,,,8,,20,,67,5,,,,100,
Horton,1,3,8,,,,0,UNK,"JL, SK",B1688,2380,22,4,,,,,,,4,8,,8,,80,,,,,100,
Horton,1,3,10,,,,0,JL,"JL, SK",B1683/B1684,2297,20.5,4.5,,,,,,,,15,,,,80,,5,,,100,"Rocky site, herbivory on forbs"
Horton,1,3,10,,,,0,JL,"JL, SK",B1683/B1684,401,30,4.5,,,,,,,10,15,,70,5,,,,,,100,"Rocky site, herbivory on forbs"
Horton,1,3,10,,,,0,JL,"JL, SK",B1683/B1684,2294,27.5,5,,,,,,,,20,,,,78,2,,,,100,"Rocky site, herbivory on forbs"
Horton,1,3,10,,,,0,JL,"JL, SK",B1683/B1684,2303,17.5,3.5,,,,,,,20,8,,15,,57,,,,,100,"Rocky site, herbivory on forbs"
Horton,1,3,9,,,,0,IM,"JL, SK",B1682,2163,18,3.5,,,,,,,,4,,15,,71,10,,,,100,
Horton,1,3,9,,,,0,IM,"JL, SK",B1682,2143,26,3.5,,,,,,,,8,,10,,77,5,,,,100,
Horton,1,3,9,,,,0,IM,"JL, SK",B1682,2159,14.5,2,,,,,,,,5,,5,,85,5,,,,100,
Horton,1,3,9,,,,0,IM,"JL, SK",B1682,2396,19,3,,,,,,,,8,,5,,87,,,,,100,
Horton,1,3,11,,,,1,UNK,"JL, SK",B1677,2149,38.5,5,,,,,,,,8,,,10,82,,,,,100,
Horton,1,3,11,,,,1,UNK,"JL, SK",B1677,2158,32,4.5,,,,,,,5,10,,5,8,72,,,,,100,
Horton,1,3,11,,,,1,IM,"JL, SK",B1677,2157,23.5,4.5,,,,,,,25,10,,5,,55,5,,,,100,
Horton,1,3,11,,,,1,IM,"JL, SK",B1677,2166,29,4,,,,,,,10,5,,10,,45,30,,,,100,
Horton,1,3,12,,,,1,IM,"IM, SK",B1714,2222,23.5,3,,,,,,,,8,,10,,77,5,,,,100,
Horton,1,3,12,,,,1,IM,"IM, SK",B1714,2253,25,5,,,,,,,,15,,5,,60,10,10,,,100,
Horton,1,3,12,,,,1,IM,"IM, SK",B1714,2248,22,4.5,,,,,,,,10,,10,,75,5,,,,100,
Horton,1,3,12,,,,1,IM,"IM, SK",B1714,2247,19.5,3,,,,,,,,10,,20,,65,5,,,,100,
Horton,1,3,13,,,,1,UNK,"JL, SK",B1687,2387,9.5,3,,,,,,,,10,,35,4,46,5,,,,100,
Horton,1,3,13,,,,1,UNK,"JL, SK",B1687,2367,15,4,,,,,,,10,30,,10,,50,,,,,100,
Horton,1,3,13,,,,1,UNK,"JL, SK",B1687,2361,18,3.5,,,,ROWO,141,16,,8,,30,,62,,,,,100,
Horton,1,3,13,,,,1,UNK,"JL, SK",B1687,2371,21,3,,,,ROWO,75,16,,15,,15,,65,5,,,,100,
Horton,1,3,14,,,,1,UNK,"JL, SK",B1689,2390,19.5,3.5,,,,,,,15,8,,20,,52,5,,,,100,
Horton,1,3,14,,,,1,UNK,"JL, SK",B1689,2389,28.5,4,,,,,,,,10,,10,,72,8,,,,100,
Horton,1,3,14,,,,1,UNK,"JL, SK",B1689,2388,15.5,3,,,,,,,,25,,10,,65,,,,,100,
Horton,1,3,14,,,,1,UNK,"JL, SK",B1689,2377,14.5,3,,,,,,,5,15,,10,,70,,,,,100,
Horton,1,3,15,,,,1,JL,"JL, SK",B1685,402,15.5,3,,,,,,,15,10,,,4,46,25,,,,100,
Horton,1,3,15,,,,1,JL,"JL, SK",B1685,2397,13.5,4.5,,,,,,,8,30,,4,5,53,,,,,100,
Horton,1,3,15,,,,1,JL,"JL, SK",B1685,2202,18.5,4.5,,,,,,,8,10,,10,,72,,,,,100,
Horton,1,3,15,,,,1,JL,"JL, SK",B1685,405,23,4.5,,,,,,,15,15,,20,,45,5,,,,100,
Horton,1,3,17,,,,1,SK,"IM, SK",B1703,2354,26,3.5,,,,,,,,,,15,,75,10,,,,100,
Horton,1,3,17,,,,1,SK,"IM, SK",B1703,2203,25,3,,,,,,,2,5,,8,,20,25,40,,,100,
Horton,1,3,17,,,,1,SK,"IM, SK",B1703,2110,26,4,,,,,,,8,,,20,,54,8,10,,,100,
Horton,1,3,17,,,,1,SK,"IM, SK",B1703,2108,24.5,3.5,,,,,,,1,,,8,,71,10,10,,,100,
Horton,1,3,20,,,,0,JL,"KBK, CAE",A2290,2483,30,3,,,,,,,14,28,,4,4,2,48,,,,100,
Horton,1,3,20,,,,0,JL,"KBK, CAE",A2290,2486,23,3,,,,,,,13,11,,15,3,14,44,,,,100,
Horton,1,3,20,,,,0,JL,"KBK, CAE",A2290,2478,19.5,3,,,,,,,6,44,,5,6,15,24,,,,100,
Horton,1,3,20,,,,0,JL,"KBK, CAE",A2290,2449,21,3,,,,,,,,38,,16,7,28,11,,,,100,
Horton,1,3,21,,,,1,JL,"KBK, CAE",A2282,2112,17,3,,,,,,,50,1,,,,38,11,,,,100,
Horton,1,3,21,,,,1,JL,"KBK, CAE",A2282,2119,23.5,4,,,,,,,12,24,16,1,,12,25,,,,90,
Horton,1,3,21,,,,1,JL,"KBK, CAE",A2282,2120,27,4,,,,,,,8,36,5,4,2,10,35,,,,100,
Horton,1,3,21,,,,1,JL,"KBK, CAE",A2282,2107,20,3,,,,,,,16,15,42,14,3,10,,,,,100,
Horton,1,3,22,,,,0,SK,"IM, SK",B1712,2334,17.5,4,,,,,,,15,8,,,2,60,5,10,,,100,
Horton,1,3,22,,,,0,SK,"IM, SK",B1712,2342,14.5,2.5,,,,,,,8,2,,,,75,,15,,,100,
Horton,1,3,22,,,,0,SK,"IM, SK",B1712,2329,15.5,3,,,,,,,,10,,5,10,75,,,,,100,
Horton,1,3,22,,,,0,SK,"IM, SK",B1712,2300,18.5,3,,,,,,,2,8,,8,,52,10,10,,,90,
Horton,1,3,23,,,,0,JL,"KBK, CAE",A2302,2282,27,3,,,,,,,6,30,,15,4,40,5,,,,100,
Horton,1,3,23,,,,0,JL,"KBK, CAE",A2302,2285,19,2,,,,,,,5,30,,4,2,49,10,,,,100,
Horton,1,3,23,,,,0,JL,"KBK, CAE",A2302,2490,28,4,,,,,,,20,30,,10,8,22,10,,,,100,
Horton,1,3,23,,,,0,JL,"KBK, CAE",A2302,2492,22,4,,,,,,,5,31,,4,3,47,10,,,,100,
Horton,1,3,24,,,,1,IM,"KBK, CAE",A2301,2489,23,2,,,,,,,25,30,,4,8,18,15,,,,100,
Horton,1,3,24,,,,1,IM,"KBK, CAE",A2301,2290,24,2,,,,,,,60,24,,2,1,10,3,,,,100,
Horton,1,3,24,,,,1,IM,"KBK, CAE",A2301,2496,23,3,,,,,,,50,22,,4,3,20,1,,,,100,
Horton,1,3,24,,,,1,IM,"KBK, CAE",A2301,2291,25,3,,,,,,,59,15,,2,2,20,2,,,,100,
Horton,1,3,25,,,,0,JL,"KBK, CAE",A2304,2493,15,3,,,,,,,5,12,,10,3,48,22,,,,100,
Horton,1,3,25,,,,0,JL,"KBK, CAE",A2304,2208,14,4,,,,,,,,9,,8,,60,23,,,,100,
