tag_id,measurement_type,date,height,rcd,site_name,structure_no,structure_type,recorder,status,herbivory
2208,,,14,4,Horton,25,3,"KBK, CAE",,
2499,,,14,3,Horton,25,3,"KBK, CAE",,
2286,,,21,3,Horton,25,3,"KBK, CAE",,
2325,,,18,3,Horton,26,3,"IM, SK",,
2326,,,14.5,3,Horton,26,3,"IM, SK",,
2305,,,14.5,3,Horton,26,3,"IM, SK",,
2353,,,16,3.5,Horton,26,3,"IM, SK",,
2273,,,23,4,Horton,27,3,"KBK, CAE",,
2454,,,25,4,Horton,27,3,"KBK, CAE",,
2271,,,33,4,Horton,27,3,"KBK, CAE",,
2466,,,26,4,Horton,27,3,"KBK, CAE",,
2465,,,25,4,Horton,29,3,"KBK, CAE",,
2267,,,23,5,Horton,29,3,"KBK, CAE",,
2462,,,20,5,Horton,29,3,"KBK, CAE",,
2266,,,23,4,Horton,29,3,"KBK, CAE",,
2114,,,18,3,Horton,30,3,"KBK, CAE",,
2140,,,10,4,Horton,30,3,"KBK, CAE",,
2128,,,24,3,Horton,30,3,"KBK, CAE",,
2139,,,24,4,Horton,30,3,"KBK, CAE",,
2173,,,23.5,3,Horton ,2,1,"KBK, CAE",,
2182,,,27,5,Horton ,2,1,"KBK, CAE",,
2184,,,19.5,4,Horton ,2,1,"KBK, CAE",,
2174,,,30,5,Horton ,2,1,"KBK, CAE",,
2281,,,29,4,Horton ,27,1,"JL, CAE",,
2278,,,27.5,4,Horton ,27,1,"JL, CAE",,
2324,,,17,3,Horton ,27,1,"JL, CAE",,
2304,,,24,4,Horton ,27,1,"JL, CAE",,
2230,,,27,5,Horton ,23,1,"IM, SK",,
2252,,,29,5,Horton ,23,1,"IM, SK",,
2254,,,31,4.5,Horton ,23,1,"IM, SK",,
2228,,,26.5,4.5,Horton ,23,1,"IM, SK",,
2485,,,21,3,Horton ,18,1,"KBK, CAE",,
2276,,,21,3,Horton ,18,1,"KBK, CAE",,
2477,,,15,3,Horton ,18,1,"KBK, CAE",,
2446,,,32,3,Horton ,18,1,"KBK, CAE",,
2189,,,25,4,Horton ,22,1,"KBK, CAE",,
2188,,,31,2,Horton ,22,1,"KBK, CAE",,
2185,,,15,3,Horton ,22,1,"KBK, CAE",,
2176,,,15,3,Horton ,22,1,"KBK, CAE",,
2504,,,25.5,4,Horton ,1,1,"IM, SK",,
2378,,,25,3.5,Horton ,1,1,"IM, SK",,
2373,,,19,4,Horton ,1,1,"IM, SK",,
2336,,,22.5,3.5,Horton ,1,1,"IM, SK",,
2302,,,32,4.5,Horton ,4,1,"JL, SK",,
2298,,,32,5,Horton ,4,1,"JL, SK",,
2295,,,22,3,Horton ,4,1,"JL, SK",,
2399,,,23,4.5,Horton ,4,1,"JL, SK",,
2280,,,23,3,Horton ,5,1,"KBK, CAE",,
2482,,,21,3,Horton ,5,1,"KBK, CAE",,
2444,,,21,4,Horton ,5,1,"KBK, CAE",,
2445,,,23,4,Horton ,5,1,"KBK, CAE",,
2348,,,22,3,Horton ,6,1,"IM, SK",,
2344,,,22,2.5,Horton ,6,1,"IM, SK",,
2391,,,18.5,4,Horton ,6,1,"IM, SK",,
403,,,14,2.5,Horton ,6,1,"IM, SK",,
2337,,,16.5,4,Horton ,7,1,"IM, SK",,
2323,,,19.5,3,Horton ,7,1,"IM, SK",,
2340,,,19.5,3,Horton ,7,1,"IM, SK",,
2101,,,15,3.5,Horton ,7,1,"IM, SK",,
2115,,,24,3,Horton ,8,1,"IM, SK",,
2339,,,21,4,Horton ,8,1,"IM, SK",,
2104,,,30,3,Horton ,9,1,"KBK, CAE",,
2121,,,16,4,Horton ,9,1,"KBK, CAE",,
2196,,,24,3,Horton ,9,1,"KBK, CAE",,
2191,,,17,4,Horton ,9,1,"KBK, CAE",,
2204,,,22,4,Horton ,10,1,"KBK, CAE",,
2398,,,16,4,Horton ,10,1,"KBK, CAE",,
2113,,,20.5,3,Horton ,10,1,"KBK, CAE",,
2127,,,19,4,Horton ,10,1,"KBK, CAE",,
2265,,,12,3,Horton ,11,1,"KBK, JL",,
2415,,,25,4,Horton ,11,1,"KBK, JL",,
2414,,,30,3,Horton ,11,1,"KBK, JL",,
2407,,,22,4,Horton ,11,1,"KBK, JL",,
2284,,,20,3,Horton ,12,1,"JL, CAE",,
2497,,,25,4,Horton ,12,1,"JL, CAE",,
2474,,,30,5,Horton ,12,1,"JL, CAE",,
2274,,,28,3,Horton ,12,1,"JL, CAE",,
2301,,,12.5,3,Horton ,13,1,"JL, SK",,
2209,,,24,3,Horton ,13,1,"JL, SK",,
2360,,,23.5,4,Horton ,13,1,"JL, SK",,
2382,,,25,4,Horton ,13,1,"JL, SK",,
2102,,,13,3,Horton ,14,1,"KBK, CAE",,
2109,,,30,5,Horton ,14,1,"KBK, CAE",,
2118,,,18,3,Horton ,14,1,"KBK, CAE",,
2122,,,31,4,Horton ,14,1,"KBK, CAE",,
2192,,,24,3,Horton ,15,1,"KBK, CAE",,
2183,,,19,3,Horton ,15,1,"KBK, CAE",,
2199,,,19,3,Horton ,15,1,"KBK, CAE",,
2187,,,15,3,Horton ,15,1,"KBK, CAE",,
2232,,,23.5,4,Horton ,16,1,"IM, SK",,
2248,,,22,4,Horton ,16,1,"IM, SK",,
2251,,,25.5,3.5,Horton ,16,1,"IM, SK",,
2226,,,26,4,Horton ,16,1,"IM, SK",,
2408,,,17,4,Horton ,17,1,"JL, CAE",,
2317,,,24,3,Horton ,17,1,"JL, CAE",,
2404,,,20,4,Horton ,17,1,"JL, CAE",,
2416,,,23,3,Horton ,17,1,"JL, CAE",,
2197,,,19,3,Horton ,19,1,"KBK, CAE",,
2181,,,30,4,Horton ,19,1,"KBK, CAE",,
2194,,,21,4,Horton ,19,1,"KBK, CAE",,
2198,,,29,3,Horton ,19,1,"KBK, CAE",,
2321,,,18,2.5,Horton ,20,1,"IM, SK",,
2327,,,19.5,3.5,Horton ,20,1,"IM, SK",,
2335,,,18.5,3,Horton ,20,1,"IM, SK",,
2347,,,23,30,Horton ,20,1,"IM, SK",,
2349,,,22.5,4,Horton ,21,1,"IM, SK",,
